# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000321355.1	Primary Assembly	chromosome	1	NC_020396.1	4147	5475	+						14691038	PCYB_011010	1329		partial
mRNA		GCF_000321355.1	Primary Assembly	chromosome	1	NC_020396.1	4147	5475	+	XM_004220607.1		XP_004220655.1			14691038	PCYB_011010	1329	1329	partial
CDS	with_protein	GCF_000321355.1	Primary Assembly	chromosome	1	NC_020396.1	4147	5475	+	XP_004220655.1		XM_004220607.1	chitinase		14691038	PCYB_011010	1329	443	partial
gene	protein_coding	GCF_000321355.1	Primary Assembly	chromosome	1	NC_020396.1	6088	7559	-						14691122	PCYB_011020	1472		partial
mRNA		GCF_000321355.1	Primary Assembly	chromosome	1	NC_020396.1	6088	7559	-	XM_004220608.1		XP_004220656.1			14691122	PCYB_011020	470	470	partial
CDS	with_protein	GCF_000321355.1	Primary Assembly	chromosome	1	NC_020396.1	6279	7559	-	XP_004220656.1		XM_004220608.1	hypothetical protein		14691122	PCYB_011020	279	92	
gene	tRNA	GCF_000321355.1	Primary Assembly	chromosome	1	NC_020396.1	9270	9342	-						14691123	PCYB_011023	73		
tRNA		GCF_000321355.1	Primary Assembly	chromosome	1	NC_020396.1	9270	9342	-				tRNA-Ala		14691123	PCYB_011023	73		
gene	tRNA	GCF_000321355.1	Primary Assembly	chromosome	1	NC_020396.1	9898	9981	+						14691124	PCYB_011027	84		
tRNA		GCF_000321355.1	Primary Assembly	chromosome	1	NC_020396.1	9898	9981	+				tRNA-Tyr		14691124	PCYB_011027	84		
gene	protein_coding	GCF_000321355.1	Primary Assembly	chromosome	1	NC_020396.1	11536	12221	-						14691125	PCYB_011030	686		partial
mRNA		GCF_000321355.1	Primary Assembly	chromosome	1	NC_020396.1	11536	12221	-	XM_004220609.1		XP_004220657.1			14691125	PCYB_011030	219	219	partial
CDS	with_protein	GCF_000321355.1	Primary Assembly	chromosome	1	NC_020396.1	11536	12221	-	XP_004220657.1		XM_004220609.1	hypothetical protein		14691125	PCYB_011030	219	72	
gene	protein_coding	GCF_000321355.1	Primary Assembly	chromosome	1	NC_020396.1	14067	19482	+						14691126	PCYB_011040	5416		partial
mRNA		GCF_000321355.1	Primary Assembly	chromosome	1	NC_020396.1	14067	19482	+	XM_004220610.1		XP_004220658.1			14691126	PCYB_011040	5349	5349	partial
CDS	with_protein	GCF_000321355.1	Primary Assembly	chromosome	1	NC_020396.1	14067	19482	+	XP_004220658.1		XM_004220610.1	hypothetical protein		14691126	PCYB_011040	5349	1782	
gene	protein_coding	GCF_000321355.1	Primary Assembly	chromosome	1	NC_020396.1	20476	21201	+						14691127	PCYB_011050	726		partial
mRNA		GCF_000321355.1	Primary Assembly	chromosome	1	NC_020396.1	20476	21201	+	XM_004220611.1		XP_004220659.1			14691127	PCYB_011050	564	564	partial
CDS	with_protein	GCF_000321355.1	Primary Assembly	chromosome	1	NC_020396.1	20476	21201	+	XP_004220659.1		XM_004220611.1	hypothetical protein		14691127	PCYB_011050	564	187	
gene	protein_coding	GCF_000321355.1	Primary Assembly	chromosome	1	NC_020396.1	22138	25311	-						14691128	PCYB_011060	3174		partial
mRNA		GCF_000321355.1	Primary Assembly	chromosome	1	NC_020396.1	22138	25311	-	XM_004220612.1		XP_004220660.1			14691128	PCYB_011060	2865	2865	partial
CDS	with_protein	GCF_000321355.1	Primary Assembly	chromosome	1	NC_020396.1	22138	25311	-	XP_004220660.1		XM_004220612.1	hypothetical protein		14691128	PCYB_011060	2865	954	partial
gene	protein_coding	GCF_000321355.1	Primary Assembly	chromosome	1	NC_020396.1	27894	28322	+						14691129	PCYB_011070	429		partial
mRNA		GCF_000321355.1	Primary Assembly	chromosome	1	NC_020396.1	27894	28322	+	XM_004220613.1		XP_004220661.1			14691129	PCYB_011070	429	429	partial
CDS	with_protein	GCF_000321355.1	Primary Assembly	chromosome	1	NC_020396.1	27894	28322	+	XP_004220661.1		XM_004220613.1	hypothetical protein		14691129	PCYB_011070	429	142	
gene	protein_coding	GCF_000321355.1	Primary Assembly	chromosome	1	NC_020396.1	29386	31488	-						14691130	PCYB_011080	2103		partial
mRNA		GCF_000321355.1	Primary Assembly	chromosome	1	NC_020396.1	29386	31488	-	XM_004220614.1		XP_004220662.1			14691130	PCYB_011080	2103	2103	partial
CDS	with_protein	GCF_000321355.1	Primary Assembly	chromosome	1	NC_020396.1	29386	31488	-	XP_004220662.1		XM_004220614.1	hypothetical protein		14691130	PCYB_011080	2103	701	partial
gene	protein_coding	GCF_000321355.1	Primary Assembly	chromosome	1	NC_020396.1	36573	43169	+						14691131	PCYB_011090	6597		partial
mRNA		GCF_000321355.1	Primary Assembly	chromosome	1	NC_020396.1	36573	43169	+	XM_004220615.1		XP_004220663.1			14691131	PCYB_011090	6504	6504	partial
CDS	with_protein	GCF_000321355.1	Primary Assembly	chromosome	1	NC_020396.1	36573	43169	+	XP_004220663.1		XM_004220615.1	erythrocyte membrane-associated antigen		14691131	PCYB_011090	6504	2167	
gene	protein_coding	GCF_000321355.1	Primary Assembly	chromosome	1	NC_020396.1	44849	47548	+						14691132	PCYB_011100	2700		partial
mRNA		GCF_000321355.1	Primary Assembly	chromosome	1	NC_020396.1	44849	47548	+	XM_004220616.1		XP_004220664.1			14691132	PCYB_011100	1097	1097	partial
CDS	with_protein	GCF_000321355.1	Primary Assembly	chromosome	1	NC_020396.1	45392	47547	+	XP_004220664.1		XM_004220616.1	hypothetical protein		14691132	PCYB_011100	813	271	partial
gene	protein_coding	GCF_000321355.1	Primary Assembly	chromosome	1	NC_020396.1	48270	49307	-						14691133	PCYB_011110	1038		partial
mRNA		GCF_000321355.1	Primary Assembly	chromosome	1	NC_020396.1	48270	49307	-	XM_004220617.1		XP_004220665.1			14691133	PCYB_011110	525	525	partial
CDS	with_protein	GCF_000321355.1	Primary Assembly	chromosome	1	NC_020396.1	48270	49307	-	XP_004220665.1		XM_004220617.1	hypothetical protein		14691133	PCYB_011110	525	174	
gene	protein_coding	GCF_000321355.1	Primary Assembly	chromosome	1	NC_020396.1	52192	54914	+						14691134	PCYB_011120	2723		partial
mRNA		GCF_000321355.1	Primary Assembly	chromosome	1	NC_020396.1	52192	54914	+	XM_004220618.1		XP_004220666.1			14691134	PCYB_011120	2595	2595	partial
CDS	with_protein	GCF_000321355.1	Primary Assembly	chromosome	1	NC_020396.1	52192	54914	+	XP_004220666.1		XM_004220618.1	hypothetical protein		14691134	PCYB_011120	2595	864	
gene	protein_coding	GCF_000321355.1	Primary Assembly	chromosome	1	NC_020396.1	55817	67805	-						14691135	PCYB_011130	11989		partial
mRNA		GCF_000321355.1	Primary Assembly	chromosome	1	NC_020396.1	55817	67805	-	XM_004220619.1		XP_004220667.1			14691135	PCYB_011130	11700	11700	partial
CDS	with_protein	GCF_000321355.1	Primary Assembly	chromosome	1	NC_020396.1	59952	67805	-	XP_004220667.1		XM_004220619.1	hypothetical protein		14691135	PCYB_011130	7728	2575	
gene	protein_coding	GCF_000321355.1	Primary Assembly	chromosome	1	NC_020396.1	69266	78246	-						14691136	PCYB_011140	8981		partial
mRNA		GCF_000321355.1	Primary Assembly	chromosome	1	NC_020396.1	69266	78246	-	XM_004220620.1		XP_004220668.1			14691136	PCYB_011140	8010	8010	partial
CDS	with_protein	GCF_000321355.1	Primary Assembly	chromosome	1	NC_020396.1	69266	78246	-	XP_004220668.1		XM_004220620.1	hypothetical protein		14691136	PCYB_011140	8010	2670	partial
gene	protein_coding	GCF_000321355.1	Primary Assembly	chromosome	1	NC_020396.1	81226	91636	+						14691137	PCYB_011150	10411		partial
mRNA		GCF_000321355.1	Primary Assembly	chromosome	1	NC_020396.1	81226	91636	+	XM_004220621.1		XP_004220669.1			14691137	PCYB_011150	9924	9924	partial
