# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	932	1333	-						20035275	C922_00001	402		partial
mRNA		GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	932	1333	-	XM_008815618.1		XP_008813840.1	hypothetical protein		20035275	C922_00001	402	402	partial
CDS	with_protein	GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	932	1333	-	XP_008813840.1		XM_008815618.1	hypothetical protein		20035275	C922_00001	402	133	
gene	protein_coding	GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	1370	1627	-						20035276	C922_00002	258		partial
mRNA		GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	1370	1627	-	XM_008815619.1		XP_008813841.1	hypothetical protein		20035276	C922_00002	258	258	partial
CDS	with_protein	GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	1370	1627	-	XP_008813841.1		XM_008815619.1	hypothetical protein		20035276	C922_00002	258	85	
gene	protein_coding	GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	2460	2681	-						20035277	C922_00003	222		partial
mRNA		GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	2460	2681	-	XM_008815620.1		XP_008813842.1	hypothetical protein		20035277	C922_00003	222	222	partial
CDS	with_protein	GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	2460	2681	-	XP_008813842.1		XM_008815620.1	hypothetical protein		20035277	C922_00003	222	73	
gene	protein_coding	GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	3732	4277	-						20035278	C922_00004	546		partial
mRNA		GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	3732	4277	-	XM_008815621.1		XP_008813843.1	hypothetical protein		20035278	C922_00004	327	327	partial
CDS	with_protein	GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	3732	4277	-	XP_008813843.1		XM_008815621.1	hypothetical protein		20035278	C922_00004	327	108	
gene	protein_coding	GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	21925	23052	-						20035279	C922_00005	1128		partial
mRNA		GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	21925	23052	-	XM_008815622.1		XP_008813844.1	hypothetical protein		20035279	C922_00005	1128	1128	partial
CDS	with_protein	GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	21925	23052	-	XP_008813844.1		XM_008815622.1	hypothetical protein		20035279	C922_00005	1128	375	
gene	protein_coding	GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	46293	46988	-						20035280	C922_00006	696		partial
