# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	1630	1962	+						24265315	AK88_00001	333		partial
mRNA		GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	1630	1962	+	XM_012477652.1		XP_012333075.1	uncharacterized protein		24265315	AK88_00001	333	333	partial
CDS	with_protein	GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	1630	1962	+	XP_012333075.1		XM_012477652.1	uncharacterized protein		24265315	AK88_00001	333	110	partial
gene	protein_coding	GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	2522	5149	-						24265316	AK88_00002	2628		partial
mRNA		GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	2522	5149	-	XM_012477653.1		XP_012333076.1	threonine-tRNA ligase		24265316	AK88_00002	2628	2628	partial
CDS	with_protein	GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	2522	5149	-	XP_012333076.1		XM_012477653.1	threonine-tRNA ligase		24265316	AK88_00002	2628	875	
gene	protein_coding	GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	6359	9914	-						24265317	AK88_00003	3556		partial
mRNA		GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	6359	9914	-	XM_012477654.1		XP_012333077.1	uncharacterized protein		24265317	AK88_00003	3438	3438	partial
CDS	with_protein	GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	6359	9914	-	XP_012333077.1		XM_012477654.1	uncharacterized protein		24265317	AK88_00003	3438	1145	
gene	protein_coding	GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	11391	12135	-						24265318	AK88_00004	745		partial
mRNA		GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	11391	12135	-	XM_012477655.1		XP_012333078.1	uncharacterized protein		24265318	AK88_00004	471	471	partial
CDS	with_protein	GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	11391	12135	-	XP_012333078.1		XM_012477655.1	uncharacterized protein		24265318	AK88_00004	471	156	
gene	protein_coding	GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	15003	17570	+						24265319	AK88_00005	2568		partial
mRNA		GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	15003	17570	+	XM_012477656.1		XP_012333079.1	uncharacterized protein		24265319	AK88_00005	1869	1869	partial
CDS	with_protein	GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	15003	17570	+	XP_012333079.1		XM_012477656.1	uncharacterized protein		24265319	AK88_00005	1869	622	
gene	protein_coding	GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	18488	19673	+						24265320	AK88_00006	1186		partial
mRNA		GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	18488	19673	+	XM_012477657.1		XP_012333080.1	uncharacterized protein		24265320	AK88_00006	870	870	partial
CDS	with_protein	GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	18488	19673	+	XP_012333080.1		XM_012477657.1	uncharacterized protein		24265320	AK88_00006	870	289	
gene	protein_coding	GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	21049	24930	+						24265321	AK88_00007	3882		partial
mRNA		GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	21049	24930	+	XM_012477658.1		XP_012333081.1	uncharacterized protein		24265321	AK88_00007	3882	3882	partial
CDS	with_protein	GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	21049	24930	+	XP_012333081.1		XM_012477658.1	uncharacterized protein		24265321	AK88_00007	3882	1293	
gene	protein_coding	GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	25749	27650	-						24265322	AK88_00008	1902		partial
mRNA		GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	25749	27650	-	XM_012477659.1		XP_012333082.1	uncharacterized protein		24265322	AK88_00008	1902	1902	partial
CDS	with_protein	GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	25749	27650	-	XP_012333082.1		XM_012477659.1	uncharacterized protein		24265322	AK88_00008	1902	633	
gene	protein_coding	GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	30083	35369	-						24265323	AK88_00009	5287		partial
mRNA		GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	30083	35369	-	XM_012477660.1		XP_012333083.1	uncharacterized protein		24265323	AK88_00009	2712	2712	partial
CDS	with_protein	GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	30083	35369	-	XP_012333083.1		XM_012477660.1	uncharacterized protein		24265323	AK88_00009	2712	903	
gene	protein_coding	GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	39414	42026	+						24265324	AK88_00010	2613		partial
mRNA		GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	39414	42026	+	XM_012477661.1		XP_012333084.1	uncharacterized protein		24265324	AK88_00010	2613	2613	partial
CDS	with_protein	GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	39414	42026	+	XP_012333084.1		XM_012477661.1	uncharacterized protein		24265324	AK88_00010	2613	870	
gene	protein_coding	GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	42779	43549	-						24265325	AK88_00011	771		partial
mRNA		GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	42779	43549	-	XM_012477662.1		XP_012333085.1	uncharacterized protein		24265325	AK88_00011	261	261	partial
CDS	with_protein	GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	42779	43549	-	XP_012333085.1		XM_012477662.1	uncharacterized protein		24265325	AK88_00011	261	86	
gene	protein_coding	GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	46614	48383	-						24265326	AK88_00012	1770		partial
mRNA		GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	46614	48383	-	XM_012477663.1		XP_012333086.1	uncharacterized protein		24265326	AK88_00012	849	849	partial
CDS	with_protein	GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	46614	48383	-	XP_012333086.1		XM_012477663.1	uncharacterized protein		24265326	AK88_00012	849	282	
gene	protein_coding	GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	51382	51933	-						24265327	AK88_00013	552		partial
