# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	4694	5837	-						30906721	PCOAH_00000020	1144		partial
mRNA		GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	4694	5837	-	XM_020056825.1		XP_019912493.1	KIR protein		30906721	PCOAH_00000020	891	891	partial
CDS	with_protein	GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	4694	5837	-	XP_019912493.1		XM_020056825.1	KIR protein		30906721	PCOAH_00000020	891	296	
gene	protein_coding	GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	13903	15999	+						30906722	PCOAH_00000030	2097		partial
mRNA		GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	13903	15999	+	XM_020056826.1		XP_019912525.1	SICA antigen		30906722	PCOAH_00000030	1626	1626	partial
CDS	with_protein	GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	13903	15999	+	XP_019912525.1		XM_020056826.1	SICA antigen		30906722	PCOAH_00000030	1626	541	
gene	protein_coding	GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	16546	18409	-						30906723	PCOAH_00000040	1864		partial
mRNA		GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	16546	18409	-	XM_020056827.1		XP_019912563.1	KIR protein		30906723	PCOAH_00000040	1056	1056	partial
CDS	with_protein	GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	16546	18409	-	XP_019912563.1		XM_020056827.1	KIR protein		30906723	PCOAH_00000040	1056	351	
gene	protein_coding	GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	25909	27236	-						30906724	PCOAH_00000050	1328		partial
mRNA		GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	25909	27236	-	XM_020056828.1		XP_019912591.1	KIR protein		30906724	PCOAH_00000050	1113	1113	partial
CDS	with_protein	GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	25909	27236	-	XP_019912591.1		XM_020056828.1	KIR protein		30906724	PCOAH_00000050	1113	370	
